partId,internalPartNumber,name,category,stockingUnit,status,source_provenance
TST-1020,NOT_EXPOSED_IN_SOURCE,Expansion Valve - Compact,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1021,NOT_EXPOSED_IN_SOURCE,Tune-Up Kit — Deluxe - Countertop,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1022,NOT_EXPOSED_IN_SOURCE,Beater Motor - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1023,NOT_EXPOSED_IN_SOURCE,Draw Handle - Twin Twist,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1024,NOT_EXPOSED_IN_SOURCE,Draw Handle - Pro Series,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1025,NOT_EXPOSED_IN_SOURCE,Tune-Up Kit — Standard,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1026,NOT_EXPOSED_IN_SOURCE,Relay Switch - Single Flavor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1027,NOT_EXPOSED_IN_SOURCE,Tune-Up Kit — Deluxe - Twin Twist,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1028,NOT_EXPOSED_IN_SOURCE,Brush Kit — Large - Gen II,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1029,NOT_EXPOSED_IN_SOURCE,Relay Switch - Gen II,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1030,NOT_EXPOSED_IN_SOURCE,Drip Tray - 3 Ton,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1031,NOT_EXPOSED_IN_SOURCE,Freezer Cylinder - Pro Series,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1032,NOT_EXPOSED_IN_SOURCE,Freezer Cylinder - 3 Ton,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1033,NOT_EXPOSED_IN_SOURCE,Evaporator Barrel - Countertop,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1034,NOT_EXPOSED_IN_SOURCE,Evaporator Barrel - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1035,NOT_EXPOSED_IN_SOURCE,Air Valve Assembly - Gen II,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1036,NOT_EXPOSED_IN_SOURCE,O-Ring Kit - Gen II,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1037,NOT_EXPOSED_IN_SOURCE,Compressor 1.5 HP - Single Flavor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1038,NOT_EXPOSED_IN_SOURCE,Splash Panel - Single Flavor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1039,NOT_EXPOSED_IN_SOURCE,O-Ring Kit - Compact,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1040,NOT_EXPOSED_IN_SOURCE,Hopper Agitator - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1041,NOT_EXPOSED_IN_SOURCE,Mix Pump Assembly,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1042,NOT_EXPOSED_IN_SOURCE,Syrup Pump - Compact,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1043,NOT_EXPOSED_IN_SOURCE,Condenser Fan Motor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1044,NOT_EXPOSED_IN_SOURCE,O-Ring Kit,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1045,NOT_EXPOSED_IN_SOURCE,Auger Shaft - Twin Twist,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1046,NOT_EXPOSED_IN_SOURCE,Hex Coupler - Pro Series,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1048,NOT_EXPOSED_IN_SOURCE,Power Supply Board - Single Flavor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1049,NOT_EXPOSED_IN_SOURCE,Splash Panel - Floor Model,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1050,NOT_EXPOSED_IN_SOURCE,Cleaning Cartridge - Pro Series,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1051,NOT_EXPOSED_IN_SOURCE,Air Valve Assembly - 3 Ton,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1052,NOT_EXPOSED_IN_SOURCE,Cleaning Cartridge - Compact,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1053,NOT_EXPOSED_IN_SOURCE,Drive Motor 1/4 HP - Countertop,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1054,NOT_EXPOSED_IN_SOURCE,Thermistor Sensor - Countertop,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1055,NOT_EXPOSED_IN_SOURCE,Draw Handle - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1056,NOT_EXPOSED_IN_SOURCE,Syrup Pump - Countertop,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1057,NOT_EXPOSED_IN_SOURCE,Sanitizer Solution 32oz - Gen II,NOT_EXPOSED_IN_SOURCE,BOTTLE,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1058,NOT_EXPOSED_IN_SOURCE,Tune-Up Kit — Deluxe,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1059,NOT_EXPOSED_IN_SOURCE,Drive Motor 1/4 HP,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1060,NOT_EXPOSED_IN_SOURCE,Condenser Fan Motor - Single Flavor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1061,NOT_EXPOSED_IN_SOURCE,Cleaning Cartridge - Twin Twist,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1062,NOT_EXPOSED_IN_SOURCE,Hopper Agitator,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1063,NOT_EXPOSED_IN_SOURCE,Thermistor Sensor - Twin Twist,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1064,NOT_EXPOSED_IN_SOURCE,Freezer Cylinder - Single Flavor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1065,NOT_EXPOSED_IN_SOURCE,Freezer Cylinder,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1066,NOT_EXPOSED_IN_SOURCE,Thermistor Sensor - Floor Model,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1067,NOT_EXPOSED_IN_SOURCE,Blade Assembly Kit - 3 Ton,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1068,NOT_EXPOSED_IN_SOURCE,Door Gasket - 3 Ton,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1069,NOT_EXPOSED_IN_SOURCE,Brush Kit — Large - Compact,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1071,NOT_EXPOSED_IN_SOURCE,Mix Pump Tube - Gen II,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1072,NOT_EXPOSED_IN_SOURCE,Hex Coupler - Countertop,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1073,NOT_EXPOSED_IN_SOURCE,Control Board - Compact,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1075,NOT_EXPOSED_IN_SOURCE,Splash Panel - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1076,NOT_EXPOSED_IN_SOURCE,Auger Shaft - Countertop,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1077,NOT_EXPOSED_IN_SOURCE,Drive Motor 1/2 HP,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1078,NOT_EXPOSED_IN_SOURCE,Splash Panel - Gen II,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1079,NOT_EXPOSED_IN_SOURCE,Consistency Control Knob - Gen II,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1081,NOT_EXPOSED_IN_SOURCE,Evaporator Barrel - 3 Ton,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1082,NOT_EXPOSED_IN_SOURCE,Sanitizer Solution 32oz - Pro Series,NOT_EXPOSED_IN_SOURCE,BOTTLE,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1083,NOT_EXPOSED_IN_SOURCE,Drip Tray - Twin Twist,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1084,NOT_EXPOSED_IN_SOURCE,Consistency Control Knob - Single Flavor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1085,NOT_EXPOSED_IN_SOURCE,Power Supply Board - Compact,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1086,NOT_EXPOSED_IN_SOURCE,Condenser Fan Motor - 3 Ton,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1087,NOT_EXPOSED_IN_SOURCE,O-Ring Kit - Single Flavor,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1088,NOT_EXPOSED_IN_SOURCE,Lubricant Tube 4oz - Gen II,NOT_EXPOSED_IN_SOURCE,TUBE,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1089,NOT_EXPOSED_IN_SOURCE,Hopper Agitator - Compact,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1090,NOT_EXPOSED_IN_SOURCE,Thermistor Sensor - Gen II,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1091,NOT_EXPOSED_IN_SOURCE,Drive Motor 1/4 HP - Pro Series,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1092,NOT_EXPOSED_IN_SOURCE,Drive Motor 1/4 HP - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1093,NOT_EXPOSED_IN_SOURCE,Wiring Harness - Gen II,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1094,NOT_EXPOSED_IN_SOURCE,Auger Shaft - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1095,NOT_EXPOSED_IN_SOURCE,Blade Assembly Kit - Single Flavor,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1096,NOT_EXPOSED_IN_SOURCE,Expansion Valve - Floor Model,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1097,NOT_EXPOSED_IN_SOURCE,Beater Motor - Countertop,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1098,NOT_EXPOSED_IN_SOURCE,Hopper Lid - Single Flavor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1099,NOT_EXPOSED_IN_SOURCE,Drive Belt - Countertop,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1100,NOT_EXPOSED_IN_SOURCE,Air Valve Assembly - Compact,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1101,NOT_EXPOSED_IN_SOURCE,Scraper Blade - Gen II,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1102,NOT_EXPOSED_IN_SOURCE,Drive Motor 1/2 HP - Gen II,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1103,NOT_EXPOSED_IN_SOURCE,Front Panel Assembly - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1104,NOT_EXPOSED_IN_SOURCE,Thermistor Sensor - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1105,NOT_EXPOSED_IN_SOURCE,Wiring Harness,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1106,NOT_EXPOSED_IN_SOURCE,Air Valve Assembly - Countertop,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1107,NOT_EXPOSED_IN_SOURCE,Tune-Up Kit — Standard - Single Flavor,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1108,NOT_EXPOSED_IN_SOURCE,Consistency Control Knob - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1109,NOT_EXPOSED_IN_SOURCE,Brush Kit — Small - Floor Model,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1110,NOT_EXPOSED_IN_SOURCE,Wiring Harness - Floor Model,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1111,NOT_EXPOSED_IN_SOURCE,Hex Coupler - Single Flavor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1113,NOT_EXPOSED_IN_SOURCE,Drive Belt - Single Flavor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1114,NOT_EXPOSED_IN_SOURCE,Thermistor Sensor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1115,NOT_EXPOSED_IN_SOURCE,Scraper Blade - Pro Series,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1116,NOT_EXPOSED_IN_SOURCE,O-Ring Kit - Countertop,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1117,NOT_EXPOSED_IN_SOURCE,Lubricant Tube 4oz,NOT_EXPOSED_IN_SOURCE,TUBE,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1118,NOT_EXPOSED_IN_SOURCE,Brush Kit — Large - Pro Series,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1119,NOT_EXPOSED_IN_SOURCE,Drip Tray - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1120,NOT_EXPOSED_IN_SOURCE,Lubricant Tube 4oz - Pro Series,NOT_EXPOSED_IN_SOURCE,TUBE,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1121,NOT_EXPOSED_IN_SOURCE,Condenser Fan Motor - Countertop,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1122,NOT_EXPOSED_IN_SOURCE,Beater Assembly - Twin Twist,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1123,NOT_EXPOSED_IN_SOURCE,Control Board,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1124,NOT_EXPOSED_IN_SOURCE,Beater Assembly - Single Flavor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1125,NOT_EXPOSED_IN_SOURCE,Syrup Pump - 3 Ton,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1126,NOT_EXPOSED_IN_SOURCE,Control Board - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1127,NOT_EXPOSED_IN_SOURCE,Tune-Up Kit — Deluxe - HD,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1128,NOT_EXPOSED_IN_SOURCE,Brush Kit — Large - Countertop,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1129,NOT_EXPOSED_IN_SOURCE,Thermistor Sensor - Pro Series,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1130,NOT_EXPOSED_IN_SOURCE,Drip Tray - Countertop,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1131,NOT_EXPOSED_IN_SOURCE,Drive Belt - Twin Twist,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1132,NOT_EXPOSED_IN_SOURCE,Splash Panel - 3 Ton,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1133,NOT_EXPOSED_IN_SOURCE,Scraper Blade - Compact,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1134,NOT_EXPOSED_IN_SOURCE,Cleaning Cartridge - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1135,NOT_EXPOSED_IN_SOURCE,Sanitizer Solution 32oz - Twin Twist,NOT_EXPOSED_IN_SOURCE,BOTTLE,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1137,NOT_EXPOSED_IN_SOURCE,Hopper Agitator - 3 Ton,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1138,NOT_EXPOSED_IN_SOURCE,Hex Coupler - Twin Twist,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1139,NOT_EXPOSED_IN_SOURCE,Front Panel Assembly - Single Flavor,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1140,NOT_EXPOSED_IN_SOURCE,Drive Motor 1/4 HP - 3 Ton,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1141,NOT_EXPOSED_IN_SOURCE,Draw Handle - Countertop,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1142,NOT_EXPOSED_IN_SOURCE,Drive Motor 1/2 HP - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1144,NOT_EXPOSED_IN_SOURCE,Freezer Cylinder - Gen II,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1145,NOT_EXPOSED_IN_SOURCE,Mix Pump Assembly - Twin Twist,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1146,NOT_EXPOSED_IN_SOURCE,Drive Belt - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1147,NOT_EXPOSED_IN_SOURCE,Hopper Agitator - Twin Twist,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1148,NOT_EXPOSED_IN_SOURCE,Cleaning Cartridge - Gen II,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1149,NOT_EXPOSED_IN_SOURCE,Mix Pump Assembly - Floor Model,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1150,NOT_EXPOSED_IN_SOURCE,Door Gasket - Pro Series,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1151,NOT_EXPOSED_IN_SOURCE,Drive Belt - 3 Ton,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1152,NOT_EXPOSED_IN_SOURCE,Power Supply Board,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1153,NOT_EXPOSED_IN_SOURCE,Tune-Up Kit — Standard - Gen II,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1154,NOT_EXPOSED_IN_SOURCE,Auger Shaft - Pro Series,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1155,NOT_EXPOSED_IN_SOURCE,Brush Kit — Small - Twin Twist,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1156,NOT_EXPOSED_IN_SOURCE,Scraper Blade - HD,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1157,NOT_EXPOSED_IN_SOURCE,Drip Tray - Floor Model,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1158,NOT_EXPOSED_IN_SOURCE,Splash Panel - Countertop,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1159,NOT_EXPOSED_IN_SOURCE,Evaporator Barrel - Gen II,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1160,NOT_EXPOSED_IN_SOURCE,Blade Assembly Kit - Gen II,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1161,NOT_EXPOSED_IN_SOURCE,Brush Kit — Large - HD,NOT_EXPOSED_IN_SOURCE,KIT,DRAFT,production-readback-postwrite-analyzer-20260724
TST-1162,NOT_EXPOSED_IN_SOURCE,Cleaning Cartridge - Countertop,NOT_EXPOSED_IN_SOURCE,EACH,DRAFT,production-readback-postwrite-analyzer-20260724
