sku,name,category,unit,cost,price,reorderThreshold,warehouseQty
TST-1096,Expansion Valve - Floor Model,Refrigeration Assembly,ea,18.89,44.23,4,2
TST-1097,Beater Motor - Countertop,Motors,ea,105.69,265.94,2,12
TST-1098,Hopper Lid - Single Flavor,Mix System,ea,8.64,20.05,4,6
TST-1099,Drive Belt - Countertop,Drive Components,ea,13.89,31.56,1,0
TST-1100,Air Valve Assembly - Compact,Pneumatics,ea,19.2,42.14,3,10
TST-1101,Scraper Blade - Gen II,Wear Parts,ea,5.33,12.22,2,15
TST-1102,Drive Motor 1/2 HP - Gen II,Motors,ea,100.24,288.18,4,8
TST-1103,Front Panel Assembly - HD,Cabinet Parts,ea,31.3,73.31,2,10
TST-1104,Thermistor Sensor - HD,Electrical,ea,7.29,14.88,3,12
TST-1105,Wiring Harness,Electrical,ea,18.94,37.3,2,6
TST-1106,Air Valve Assembly - Countertop,Pneumatics,ea,15.23,38.61,4,8
TST-1107,Tune-Up Kit — Standard - Single Flavor,Maintenance Kits,kit,16.44,38.42,2,20
TST-1108,Consistency Control Knob - HD,Controls,ea,11.77,21.89,1,12
TST-1109,Brush Kit — Small - Floor Model,Cleaning Supplies,kit,12.24,24.63,2,20
TST-1110,Wiring Harness - Floor Model,Electrical,ea,22.96,44.6,2,6
TST-1111,Hex Coupler - Single Flavor,Drive Components,ea,10.9,26.52,4,4
TST-1112,Front Panel Assembly - Countertop,Cabinet Parts,ea,37.06,92.1,3,8
TST-1113,Drive Belt - Single Flavor,Drive Components,ea,8.73,18.81,2,0
TST-1114,Thermistor Sensor,Electrical,ea,14.1,29.49,4,4
TST-1115,Scraper Blade - Pro Series,Wear Parts,ea,2.65,6.84,2,4
TST-1116,O-Ring Kit - Countertop,Seals & Gaskets,kit,10.07,21.06,1,12
TST-1117,Lubricant Tube 4oz,Cleaning Supplies,tube,4.78,9.21,2,2
TST-1118,Brush Kit — Large - Pro Series,Cleaning Supplies,kit,23.11,43.81,3,12
TST-1119,Drip Tray - HD,Cabinet Parts,ea,8.92,18.84,2,8
TST-1120,Lubricant Tube 4oz - Pro Series,Cleaning Supplies,tube,4.27,8.48,1,6
TST-1121,Condenser Fan Motor - Countertop,Compressors,ea,64.9,149.44,1,20
TST-1122,Beater Assembly - Twin Twist,Drive Components,ea,45.2,120.54,3,15
TST-1123,Control Board,Electrical,ea,72.78,203.24,4,15
TST-1124,Beater Assembly - Single Flavor,Drive Components,ea,104,304.78,4,6
TST-1125,Syrup Pump - 3 Ton,Mix System,ea,47,111.29,2,4
TST-1126,Control Board - HD,Electrical,ea,64.38,178.6,4,12
TST-1127,Tune-Up Kit — Deluxe - HD,Maintenance Kits,kit,47.47,107.83,2,10
TST-1128,Brush Kit — Large - Countertop,Cleaning Supplies,kit,15.03,28.52,4,0
TST-1129,Thermistor Sensor - Pro Series,Electrical,ea,4.88,10.8,2,20
TST-1130,Drip Tray - Countertop,Cabinet Parts,ea,7.66,16.17,4,15
TST-1131,Drive Belt - Twin Twist,Drive Components,ea,8.44,19.59,2,12
TST-1132,Splash Panel - 3 Ton,Cabinet Parts,ea,13.77,29.44,2,20
TST-1133,Scraper Blade - Compact,Wear Parts,ea,3.82,8.62,3,10
TST-1134,Cleaning Cartridge - HD,Cleaning Supplies,ea,8.9,17.5,1,8
TST-1135,Sanitizer Solution 32oz - Twin Twist,Cleaning Supplies,bottle,12.85,24.06,4,15
TST-1136,Brush Kit — Large - Single Flavor,Cleaning Supplies,kit,21.9,42.2,1,20
TST-1137,Hopper Agitator - 3 Ton,Mix System,ea,28.67,71.85,1,15
TST-1138,Hex Coupler - Twin Twist,Drive Components,ea,13.02,31.46,3,8
TST-1139,Front Panel Assembly - Single Flavor,Cabinet Parts,ea,36.26,74.69,1,20
TST-1140,Drive Motor 1/4 HP - 3 Ton,Motors,ea,64.87,202.1,2,10
TST-1141,Draw Handle - Countertop,Controls,ea,16.12,31.41,2,15
TST-1142,Drive Motor 1/2 HP - HD,Motors,ea,126.52,346.17,3,20
TST-1143,Mix Pump Assembly - HD,Mix System,ea,111.78,307.91,4,6
TST-1144,Freezer Cylinder - Gen II,Refrigeration Assembly,ea,153.59,471.82,4,12
TST-1145,Mix Pump Assembly - Twin Twist,Mix System,ea,102.27,229.16,3,10
TST-1146,Drive Belt - HD,Drive Components,ea,5.84,14.29,1,4
TST-1147,Hopper Agitator - Twin Twist,Mix System,ea,24.62,60.61,2,10
TST-1148,Cleaning Cartridge - Gen II,Cleaning Supplies,ea,8.86,17.8,4,20
TST-1149,Mix Pump Assembly - Floor Model,Mix System,ea,91.33,252.82,2,20
TST-1150,Door Gasket - Pro Series,Seals & Gaskets,ea,3.98,9.37,2,6
TST-1151,Drive Belt - 3 Ton,Drive Components,ea,9.56,22.2,1,0
TST-1152,Power Supply Board,Electrical,ea,37.98,83.47,1,6
TST-1153,Tune-Up Kit — Standard - Gen II,Maintenance Kits,kit,24.25,57.64,1,4
TST-1154,Auger Shaft - Pro Series,Drive Components,ea,63.83,164.5,1,15
TST-1155,Brush Kit — Small - Twin Twist,Cleaning Supplies,kit,10.33,21.25,2,8
TST-1156,Scraper Blade - HD,Wear Parts,ea,4.71,13.01,1,2
TST-1157,Drip Tray - Floor Model,Cabinet Parts,ea,17.75,34.72,2,8
TST-1158,Splash Panel - Countertop,Cabinet Parts,ea,11.99,25.98,2,2
TST-1159,Evaporator Barrel - Gen II,Refrigeration Assembly,ea,196.76,574.45,4,8
TST-1160,Blade Assembly Kit - Gen II,Wear Parts,kit,19.71,50.1,4,0
TST-1161,Brush Kit — Large - HD,Cleaning Supplies,kit,20.53,44.66,1,10
TST-1162,Cleaning Cartridge - Countertop,Cleaning Supplies,ea,9.31,18.13,4,4
TST-1163,Drive Belt,Drive Components,ea,8.71,19.11,3,10
TST-1164,Control Board - Floor Model,Electrical,ea,137.51,321.92,1,20
TST-1165,Mix Pump Tube - Compact,Mix System,ea,7.73,15.03,1,8
TST-1166,Wiring Harness - 3 Ton,Electrical,ea,19.66,36.39,1,12
TST-1167,Sanitizer Solution 32oz - Floor Model,Cleaning Supplies,bottle,7.12,13.17,2,20
TST-1168,Hex Coupler - HD,Drive Components,ea,11.46,27.95,2,12
TST-1169,Mix Pump Tube - 3 Ton,Mix System,ea,8.53,17.45,3,20
TST-1170,Power Supply Board - Pro Series,Electrical,ea,38.27,77.71,2,8
TST-1171,Door Gasket - Countertop,Seals & Gaskets,ea,13.57,27.92,1,20
TST-1172,Drive Motor 1/4 HP - Gen II,Motors,ea,72.01,216.29,4,20
TST-1173,Mix Pump Tube - Single Flavor,Mix System,ea,6.06,14.21,2,2
TST-1174,Air Valve Assembly,Pneumatics,ea,19.53,40.93,1,15
TST-1175,Auger Shaft - Single Flavor,Drive Components,ea,53.47,137,1,0
TST-1176,Wiring Harness - Single Flavor,Electrical,ea,24.45,54.61,1,2
TST-1177,Sanitizer Solution 32oz - Single Flavor,Cleaning Supplies,bottle,9.38,19.62,1,10
TST-1178,Drive Motor 1/2 HP - Pro Series,Motors,ea,81.82,260.45,1,4
TST-1179,Compressor 1 HP - 3 Ton,Compressors,ea,166.55,398.99,1,10
TST-1180,Evaporator Barrel - Pro Series,Refrigeration Assembly,ea,187.49,490.08,1,4
TST-1181,Hex Coupler - 3 Ton,Drive Components,ea,12.55,30.86,3,2
TST-1182,Drip Tray - Compact,Cabinet Parts,ea,8.04,17.1,4,20
TST-1183,Relay Switch - HD,Electrical,ea,15.25,30.73,2,12
TST-1184,Beater Assembly - 3 Ton,Drive Components,ea,74.72,184.42,1,8
TST-1185,Mix Pump Assembly - Pro Series,Mix System,ea,95.29,235.5,3,12
TST-1186,Syrup Pump - HD,Mix System,ea,63.27,140.49,2,12
TST-1187,Power Supply Board - Gen II,Electrical,ea,39.9,85,1,15
TST-1188,Auger Shaft - 3 Ton,Drive Components,ea,42,111.83,2,4
TST-1189,Brush Kit — Small - Compact,Cleaning Supplies,kit,12.49,25.86,2,10
TST-1190,Syrup Pump,Mix System,ea,63.04,147.31,2,2
TST-1191,Lubricant Tube 4oz - Compact,Cleaning Supplies,tube,5.18,9.7,1,2
TST-1192,Blade Assembly Kit - Pro Series,Wear Parts,kit,31.6,86.1,2,0
TST-1193,Compressor 1 HP - Countertop,Compressors,ea,158.17,406.49,2,10
TST-1194,Scraper Blade - Twin Twist,Wear Parts,ea,4.78,12.7,2,2
TST-1195,Auger Shaft - Compact,Drive Components,ea,35.02,85.82,2,4
TST-1196,Mix Pump Tube - Countertop,Mix System,ea,8.13,18.1,3,2
TST-1197,O-Ring Kit - Twin Twist,Seals & Gaskets,kit,3.9,8.52,4,2
TST-1198,Hopper Agitator - Countertop,Mix System,ea,31.21,71.17,2,12
TST-1199,Brush Kit — Small - HD,Cleaning Supplies,kit,13.18,25.38,1,12
TST-1200,Brush Kit — Large,Cleaning Supplies,kit,14.63,28.15,1,4
